address,district,area,bedrooms,garage,type,rent,total,full_address,latitude,longitude,geo_cluster
Avenida São Miguel,Vila Marieta,15,1,1,Studio e kitnet,1030,1345,"Avenida São Miguel, Vila Marieta, São Paulo, Brazil",-23.5150521,-46.5202204,143
Rua Oscar Freire,Pinheiros,18,1,0,Apartamento,4000,4661,"Rua Oscar Freire, Pinheiros, São Paulo, Brazil",-23.5507537,-46.6787992,41
Rua Júlio Sayago,Vila Ré,56,2,2,Casa em condomínio,1750,1954,"Rua Júlio Sayago, Vila Ré, São Paulo, Brazil",-23.5254952,-46.5020782,92
Rua Barata Ribeiro,Bela Vista,19,1,0,Studio e kitnet,4000,4654,"Rua Barata Ribeiro, Bela Vista, São Paulo, Brazil",-23.5565217,-46.6533163,96
Rua Domingos Paiva,Brás,50,2,1,Apartamento,3800,4587,"Rua Domingos Paiva, Brás, São Paulo, Brazil",-23.5447822,-46.6171431,99
Rua Guararapes,Brooklin Paulista,72,2,1,Apartamento,3500,5187,"Rua Guararapes, Brooklin Paulista, São Paulo, Brazil",-23.600442,-46.6885746,83
Avenida Cásper Líbero,Centro,26,1,0,Studio e kitnet,1727,2244,"Avenida Cásper Líbero, Centro, São Paulo, Brazil",-23.4537245,-46.8424381,74
Rua José Peres Campelo,Piqueri,32,2,0,Apartamento,1200,1592,"Rua José Peres Campelo, Piqueri, São Paulo, Brazil",-23.4982082,-46.7162214,93
Rua Guaperuvu,Vila Aricanduva,36,1,0,Apartamento,1200,1501,"Rua Guaperuvu, Vila Aricanduva, São Paulo, Brazil",-23.5362321,-46.5386932,70
Rua dos Carmelitas,Sé,63,2,0,Apartamento,1500,2020,"Rua dos Carmelitas, Sé, São Paulo, Brazil",-23.5508486,-46.6291682,60
Rua Tabatinguera,Sé,34,1,0,Apartamento,1000,1406,"Rua Tabatinguera, Sé, São Paulo, Brazil",-23.5525187,-46.6302193,60
Rua Henrique Sertório,Tatuapé,32,1,0,Studio e kitnet,2100,2598,"Rua Henrique Sertório, Tatuapé, São Paulo, Brazil",-23.5366481,-46.5780234,53
Rua Herison,Lauzane Paulista,50,3,0,Casa em condomínio,1437,1517,"Rua Herison, Lauzane Paulista, São Paulo, Brazil",-23.4733903,-46.6438528,145
Rua Orestes Barbosa,Jardim Paraventi,70,2,1,Casa,1600,1768,"Rua Orestes Barbosa, Jardim Paraventi, São Paulo, Brazil",-23.45123835,-46.5268108,42
Rua Scuvero,Cambuci,75,2,0,Casa,2266,2422,"Rua Scuvero, Cambuci, São Paulo, Brazil",-23.562555,-46.6203464,25
Rua Doutor Tomaz de Lima,Liberdade,64,2,0,Apartamento,1530,2049,"Rua Doutor Tomaz de Lima, Liberdade, São Paulo, Brazil",-23.558891,-46.6340727,60
Rua Conselheiro Furtado,Liberdade,28,1,0,Studio e kitnet,2300,2750,"Rua Conselheiro Furtado, Liberdade, São Paulo, Brazil",-23.5641976,-46.6325089,60
Rua Torres da Barra,Água Branca,32,1,0,Apartamento,1764,2177,"Rua Torres da Barra, Água Branca, São Paulo, Brazil",-23.523013,-46.6882658,52
Rua Guarapuava,Mooca,36,1,0,Apartamento,1850,2281,"Rua Guarapuava, Mooca, São Paulo, Brazil",-23.5477351,-46.6051291,99
Rua dos Estudantes,Sé,30,1,0,Apartamento,1700,2066,"Rua dos Estudantes, Sé, São Paulo, Brazil",-23.55534,-46.6313261,60
Rua Fernando de Noronha,Chácara Inglesa,62,2,1,Apartamento,2700,3754,"Rua Fernando de Noronha, Chácara Inglesa, São Paulo, Brazil",-23.6082443,-46.6355119,134
Avenida Condessa Elizabeth de Robiano,Vila Moreira,40,2,1,Apartamento,1900,2233,"Avenida Condessa Elizabeth de Robiano, Vila Moreira, São Paulo, Brazil",-20.264162,-50.250769,10
Rua Nadir,Gopoúva,54,2,1,Apartamento,2000,2536,"Rua Nadir, Gopoúva, São Paulo, Brazil",-23.4688857,-46.5390476,121
Avenida Cásper Líbero,Centro,25,1,0,Studio e kitnet,2100,2571,"Avenida Cásper Líbero, Centro, São Paulo, Brazil",-23.4537245,-46.8424381,74
Rua Dom Macário,Saúde,54,2,0,Apartamento,1100,1462,"Rua Dom Macário, Saúde, São Paulo, Brazil",-23.6165219,-46.6107426,136
Largo do Arouche,Santa Efigênia,80,1,0,Apartamento,2300,2969,"Largo do Arouche, Santa Efigênia, São Paulo, Brazil",-20.5329716,-47.42816,5
