area,bedrooms,garage,address,district,type,total
78,1,2,Rua José Doll de Moraes,Santana,Apartamento,5443
155,4,3,Rua Cajuru,Belenzinho,Apartamento,11280
66,2,1,Rua Afonso de Freitas,Paraíso,Apartamento,10390
55,2,1,Rua Vigário Albernaz,Vila Gumercindo,Apartamento,3604
127,3,3,Rua da Meação,Vila Regente Feijó,Apartamento,8034
155,2,1,Rua Abílio Soares,Paraíso,Apartamento,17900
250,2,2,Rua Abel Grimmer,Piqueri,Casa,3957
64,2,1,Rua Maratona,Santo Amaro,Apartamento,4038
250,3,4,Rua Henning Boilesen,Vila Lageado,Casa,4285
110,1,2,Rua Luiz Seráphico Júnior,Jardim Caravelas,Apartamento,10550
100,2,1,Rua Jovita,Santana,Casa em condomínio,3231
60,2,1,Rua Afonso Bandeira de Melo,Campo Belo,Apartamento,3967
60,2,1,Rua Santo Egídio,Santa Teresinha,Apartamento,2304
54,2,1,Rua Camargo,Paulicéia,Apartamento,2025
211,3,3,Rua Armindo Guaraná,Vila Regente Feijó,Apartamento,9495
45,1,0,Rua São Paulo,Liberdade,Studio e kitnet,1414
59,2,1,Rua Antônio Cardoso Franco,Casa Branca,Apartamento,2559
37,1,0,Rua Antônia Maria de Barros,Vila Albertina,Apartamento,2169
60,2,2,Rua João de Laet,Vila Aurora (zona Norte),Apartamento,2420
90,1,1,Rua Doutor Tomás Carvalhal,Paraíso,Apartamento,7462
40,2,0,Rua das Cerejeiras,Canhema,Casa,1031
44,2,1,Rua Murmúrios da Tarde,Conjunto Residencial José Bonifácio,Apartamento,1327
87,2,2,Rua Doutor Luiz Migliano,Jardim Caboré,Apartamento,6215
80,2,2,Rua do Símbolo,Jardim Ampliacao,Apartamento,10210
98,2,0,Rua Mendes Gonçalves,Brás,Apartamento,2636
43,1,1,Rua dos Buritis,Jabaquara,Apartamento,2721
225,4,3,Rua Sales Júnior,Lapa,Apartamento,14950
38,2,0,Rua Virgínia,Vila Carrao,Apartamento,1618
120,2,1,Rua Barbacena,Jardim Ana Rosa,Casa,2318
25,1,1,Viaduto Nove de Julho,Centro,Studio e kitnet,3461
41,2,0,Rua Conselheiro Lafaiette,Mooca,Apartamento,2532
74,2,1,Rua São Domingos,Bela Vista,Apartamento,3512
68,2,1,Rua Doutor Nicolau Alberto Defina,Jardim da Saúde,Apartamento,2066
90,2,2,Avenida Piraíba,Centro Comercial Jubran,Apartamento,8307
28,1,0,Rua Doutor Almeida Lima,Mooca,Studio e kitnet,2284
45,1,1,Rua Visconde de Parnaíba,Brás,Apartamento,2437
28,1,0,Rua Domingos Maza,Vila Boacava,Casa em condomínio,990
50,2,1,Rua Jaboticabal,Vila Bertioga,Apartamento,5009
70,2,1,Rua Domingos da Fonseca,Parque da Mooca,Apartamento,2239
350,4,3,Rua Professor Lúcio Martins Rodrigues,Jardim Leonor,Casa,10280
560,3,4,Alameda Dinamarca,Alphaville Residencial Um,Casa em condomínio,14800
57,3,1,Avenida Túlio Teodoro de Campos,Vila Paulista,Apartamento,2724
61,2,2,Rua Diogo Pereira,Super Quadra Morumbi,Apartamento,2634
33,2,0,Rua Caramuru,Vila da Saúde,Apartamento,3683
28,1,0,Rua Glicério,Liberdade,Studio e kitnet,1173
83,3,1,Rua Gabriele D'annunzio,Campo Belo,Apartamento,4773
150,2,1,Rua Tito,Vila Romana,Casa,5360
372,3,5,Rua Antônio Vera Cruz,Casa Verde Alta,Casa,12100
64,1,0,Rua Ministro Gastão Mesquita,Perdizes,Apartamento,4401
50,2,1,Rua Padre Bento Ibáñez,Jardim Prudência,Apartamento,2501
100,3,2,Rua José Wasth Rodrigues,Vila Maria Baixa,Apartamento,4429
45,1,0,Rua Martim Burchard,Brás,Apartamento,3556
25,1,0,Avenida Escragnolle Dória,Jardim Vila Formosa,Casa,938
56,2,2,Rua Alvorada,Vila Olímpia,Apartamento,4251
58,1,0,Rua Pires da Mota,Liberdade,Apartamento,2327
146,3,4,Rua Giovani Recordati,Parque São Domingos,Casa em condomínio,7033
27,1,0,Avenida Imperatriz Leopoldina,Vila Leopoldina,Studio e kitnet,1476
40,1,1,Rua Desembargador Aragão,Vila Mariana,Apartamento,4734
123,3,2,Rua Bernardo de Quadros,Vila Morse,Casa,5142
38,1,1,Rua Doutor João Clímaco Pereira,Itaim Bibi,Studio e kitnet,5048
50,2,0,Praça Júlio Prestes,Campos Elíseos,Apartamento,2384
184,3,2,Rua José Teles de Matos,Jardim Oriental,Casa,4687
60,2,1,Avenida Macuco,Moema,Apartamento,5903
110,3,0,Rua Antônio Camardo,Vila Gomes Cardim,Apartamento,3477
43,2,0,Rua Doutor Fontes de Resende,Vila Dalila,Apartamento,1916
62,2,1,Rua Domingos Paiva,Brás,Apartamento,5584
70,2,1,Travessa Severo Garcia,Mandaqui,Casa,1876
60,2,1,Rua Azevedo Júnior,Bras,Apartamento,2611
60,1,0,Rua Olímpia Lemes da Silva,Jardim das Vertentes,Casa,1293
179,3,1,Alameda Franca,Jardim Paulista,Apartamento,17550
27,1,1,Rua da Consolação,Consolação,Apartamento,2711
24,1,0,Rua Viêira de Carvalho,Nova Gerti,Casa,1199
65,3,1,"Rua Sete Barras, 268",Nossa Senhora do Ó,Apartamento,2854
88,2,2,Rua Antônio Borba,Vila Madalena,Apartamento,5693
100,2,1,Rua Oscar Freire,Cerqueira César,Apartamento,8644
56,1,1,Rua Gomes de Carvalho,Vila Olímpia,Apartamento,7347
50,2,0,Rua do Lucas,Brás,Apartamento,1742
30,1,0,Rua Abaíbas,Vila Palmeiras,Casa,889
167,3,2,Rua Henrique Xavier,Vila Carrão,Casa,4547
40,1,0,Rua José Antônio Fontes,Vila Tolstoi,Apartamento,1057
82,3,1,Rua Hungria,Vila Nova Santa Luzia,Apartamento,3809
35,1,0,Rua Conselheiro Lafaiette,Mooca,Apartamento,2874
29,1,1,Alameda Eduardo Prado,Campos Elíseos,Apartamento,1995
100,3,2,Rua Sampaio Viana,Vila Mariana,Apartamento,15390
70,2,1,Rua Oscar Freire,Pinheiros,Apartamento,8980
49,2,0,Avenida Cônego José Salomon,Vila Portugal,Apartamento,1494
257,4,3,Alameda Jaú,Jardim Paulista,Apartamento,18730
150,3,2,Rua Palermo,São Judas,Casa,3991
40,2,0,Rua Bernardino Vergueiro,Jardim Jaú (zona Leste),Apartamento,1347
120,3,2,Rua Doutor Piragibe,Parque Penha,Casa,2622
127,2,1,Rua José Antônio da Silva,Jardim Elvira,Casa,1251
170,3,2,Rua Barão Triunfo,Brooklin Paulista,Apartamento,8023
66,2,2,Rua Horácio Alves da Costa,Jardim Nosso Lar,Apartamento,3537
25,1,0,Rua Francisca Miquelina,Bela Vista,Studio e kitnet,2147
170,4,4,Rua São Borja,Cidade Vargas,Casa,5800
50,2,1,Rua Copacabana,Chora Menino,Apartamento,2209
67,2,2,Rua José Debieux,Santana,Apartamento,5304
84,2,0,Rua Backer,Cambuci,Casa,2833
80,3,0,Rua Doutor Zuquim,Santana,Apartamento,2452
22,1,0,Rua Maria Carolina,Jardim Paulistano,Studio e kitnet,4888
57,1,0,Rua Francisca Miquelina,Bela Vista,Apartamento,2709
62,2,1,Rua da Consolação,Consolação,Apartamento,2927
170,4,3,Rua Marquês de Sabará,Real Parque,Apartamento,8779
