iter	MAE
0	2066.168914
1	2012.41348
2	1961.61011
3	1911.687288
4	1865.415976
5	1820.893859
6	1777.455477
7	1735.904539
8	1698.486362
9	1665.362467
10	1631.397154
11	1595.641391
12	1563.317277
13	1532.229697
14	1505.843064
15	1478.708033
16	1455.578145
17	1432.93462
18	1410.724327
19	1390.583202220	1370.284158221	1351.726597222	1333.651742223	1317.697931
24	1300.285238
25	1284.129797
26	1269.869352
27	1254.407228	28	1238.850729	29	1223.690130	30	1211.617231	31	1198.763032	32	1190.59533	133	1179.73534	134	1168.27335	135	1161.10736	136	1152.81437	137	1143.79238	138	1137.46539	139	1128.56940	140	1119.63341	141	1111.3942	1142	1104.6443	1143	1097.9944	1144	1091.5145	1145	1085.2846	1046	1077.8247	1047	1071.4948	1048	1066.0549	149	1059.91550	150	1055.0351	1051	1050.0652	1052	1044.7153	1053	1039.7454	1054	1035.8755	1055	1031.4156	1056	1028.1557	1057	1024.1758	158	1020.31859	159	1015.86860	160	1013.38161	161	1009.27762	162	1006.29563	163	1003.06764	164	999.720565	165	996.903666	166	994.819567	167	992.412268	968	989.304369	969	986.910470	70	984.7433771	71	981.8015772	72	979.9876573	73	977.363977474	974.8563047575	971.6446128
76	970.2127234
77	967.5827966778	964.5506678
79	961.7964719
80	960.3217781
81	958.0630374
82	955.3634573
83	953.6205411
84	951.2152458
85	948.4552521
86	946.6621556
87	945.1357857
88	943.194862
89	940.9491498
90	939.5068354
91	937.4927377
92	936.0093382
93	934.0131441
94	931.923793
95	930.2129022
96	928.2982604
97	997	914.307898	998	912.338799	924.3349052
100	922.6143164
101	920.7401131
102	102	905.3206103	103	904.2479104	916.8905406
105105	901.18528106106	898.67205107107	897.73952108108	896.78692109109	895.81345110	910.1067141
111	908.6720938
112	907.307719
113	906.4098514
114	905.2149899
115	902.9928029
116	901.5421948
117	900.6691243
118	899.8591036
119	898.1238774
120	896.5197208
121	895.5710417
122	894.971794
123	894.6399446
124	893.9299084
125	892.5104492
126	891.0533936
127	890.0404785
128	889.48428
129	888.6084123
130	887.5961691
131	886.6619858
132	886.1923154
133	884.4142817
134	882.944117
135	881.5723062
136	880.6164739
137	879.7237955
138	878.7332352
139	877.2473509
140	876.4559881
141	875.7448666
142	874.8698907
143	874.0311245
144	873.2136642
145	872.0108876
146	871.5456011
147	870.0677217
148	869.2943446
149	868.4399508
150	867.5936751
151	866.9025041
152	866.8195066
153	866.0737651
154	865.2469856
155	864.8539814
156	863.9717624
157	863.5158064
158	862.4262233
159	861.8099992
160	861.3858162
161	859.7735671
162	858.7745878
163	857.9295921
164	857.8763451
165	856.7399336
166	855.922021
167	855.3026463
168	854.5639446
169	854.4168744
170	853.7831973
171	853.1393027
172	852.4844173	173	851.8296257
174	850.9842678
175	849.6316833
176	848.9000072
177	848.251384
178	847.383239
179	846.7676195
180	845.7962136
181	845.1468076
182	844.154959
183	843.565647
184	842.7507146
185	842.3325212
186	841.1349643
187	839.9003443
188	838.7885403
189	837.736202
190	837.173882
191	836.2768109
192	835.6717186
193	834.9592536
194	834.425805
195	833.2641906
196	832.4209779
197	832.1628582
198	831.803113
199	831.436115
200	830.7777456
201	830.352497
202	829.8545347
203	829.3487147
204	828.4005699
205	826.9935647
206	826.2597828
207	825.3270308
208	824.4059031
209	823.6654286
210	823.3583653
211	823.0439287
212	821.9567492
213	821.6035418
214	820.9369356
215	819.920903
216	818.8707229
217	818.1666408
218	817.0723489
219	815.5057725
220	814.1662612
221	813.875282
222	813.0985275
223	812.3220145
224	811.809194
225	811.4246091
226	810.9460645
227	810.0692343
228	808.6935914
229	807.9229388
230	807.2254726
231	806.5897773
232	806.2630485
233	805.7241441
234	804.7034462
235	804.5050148
236	802.9799016
237	802.2719322
238	801.6667809
239	800.7647354
240	800.4930655
241	799.9401012
242	799.3530985
243	798.6661841
244	798.0468285
245	797.0949951
246	796.878766
247	796.2486189
248	795.8138614
249	795.2988425
250	794.8476215
251	794.6467829
252	793.7211372
253	793.1365051
254	792.3397663
255	791.7917589
256	791.6022581
257	791.3055947
258	790.8019542
259	790.4280423
260	790.0474165
261	788.8621194
262	788.5673295
263	788.1105555
264	787.7213447
265	787.21824
266	786.6960067
267	786.2678352
268	785.632007
269	784.6371394
270	784.0876261
271	783.5374343
272	783.2562957
273	782.7941805
274	782.3371952
275	781.7618883
276	781.5191007
277	780.9068493
278	780.3218244
279	780.0447203
280	779.4086646
281	778.7421494
282	778.1827846
283	777.2878501
284	776.6954262
285	775.6895802
286	775.0750026
287	774.585527
288	773.9449218
289	773.732013
290	773.1512181
291	772.2121391
292	771.6576983
293	770.8985385
294	770.7170478
295	770.2606625
296	769.8516291
297	769.0053727
298	768.6441828
299	768.1398591
300	767.4800919
301	766.8860299
302	766.3330735
303	765.4104292
304	765.241979
305	764.7231827
306	764.0575029
307	763.7031111
308	762.6160274
309	762.2816581
310	761.7370457
311	761.361456
312	760.4755914
313	760.0758406
314	759.8686006
315	759.4125807
316	759.0636296
317	758.5533602
318	757.3616979
319	757.0191445
320	756.7528352
321	755.9075813
322	755.4976154
323	754.9675412
324	754.4149082
325	754.2013878
326	754.0688211
327	753.7745597
328	753.447886
329	753.1852892
330	752.3927623
331	752.1048001
332	751.6841977
333	751.1755695
334	750.8624169
335	750.3691382
336	750.1200369
337	749.5939506
338	749.2827039
339	748.0664756
340	747.5301062
341	747.1799578
342	746.8590731
343	746.5902267
344	746.348907
345	745.9232229
346	745.7300126
347	745.2223456
348	744.975291
349	744.4459434
350	744.2423736
351	744.0070972
352	743.6411208
353	743.3849994
354	742.9915425
355	742.4870285
356	742.2925723
357	741.5243433
358	740.9788888
359	740.7647356
360	740.640868
361	740.4577214
362	739.2075343
363	738.5247344
364	737.9187456
365	737.5209765
366	737.1083586
367	736.4241797
368	736.0244552
369	735.674441
370	735.395356
371	735.0836522
372	734.4596401
373	734.001159
374	733.8638811
375	733.7529999
376	733.5909879
377	733.1628488
378	732.9797666
379	732.3070986
380	732.1307541
381	731.9550624
382	731.421111
383	731.0307364
384	730.4378983
385	729.3416939
386	728.6390754
387	728.0493636
388	726.8918525
389	726.2502096
390	725.9880014
391	725.7909043
392	725.648621
393	725.3904742
394	725.0734538
395	724.9333729
396	724.6585414
397	724.3418123
398	724.1526337
399	723.6434973
400	723.2831987
401	723.0952977
402	722.895242
403	722.765569
404	722.5630724
405	722.373331
406	721.9941063
407	721.1122862
408	720.5792757
409	720.3705509
410	720.1128096
411	719.8495034
412	719.6061541
413	718.9561711
414	718.4525949
415	717.9953692
416	717.1574953
417	716.6618209
418	716.1051336
419	715.849419	7420	715.6841171
421	715.2877416
422	714.988549
423	714.617705
424	714.4038747
425	713.9885464
426	713.7610943
427	713.0252712
428	712.3076931
429	711.9971447
430	711.2619676
431	711.0806966
432	710.4864327
433	709.8953004
434	709.7663933
435	709.2737837
436	709.0770823
437	708.7149207
438	708.4560359
439	708.2133158
440	707.936647
441	707.5158876
442	707.3574787
443	706.7096315
444	706.5814138
445	706.4064752
446	706.1090325
447	705.9229123
448	705.69507
449	705.4698657
450	705.4218948
451	704.9392337
452	704.6933394
453	703.9983328
454	703.7298462
455	703.5209273
456	703.3827982
457	703.2994939
458	702.8064121
459	702.415785
460	702.1046863
461	701.8851688
462	701.6034925
463	701.3574334
464	700.6842418
465	700.2841411
466	699.6662362
467	698.6946248
468	698.5399677
469	698.3718085
470	697.98916
471	697.7240064
472	697.432435
473	697.0724208
474	696.9445974
475	696.7271794
476	695.537621
477	694.8627838
478	694.5234091
479	693.8706302
480	693.4920303
481	693.2609528
482	692.7960225
483	692.1961227
484	691.9893482
485	691.7502135
486	691.4751212
487	690.8638405
488	690.2737366
489	689.9512541
490	689.3373322
491	688.8863297
492	688.7598449
493	688.4800318
494	687.7186409
495	687.2352667
496	687.0062419
497	686.6634127
498	686.509036
499	686.1617717
500	686.0203741
501	685.5789832
502	685.4020096
503	684.6209416
504	684.499325
505	684.2072723
506	683.7127033
507	683.530949
508	683.209738
509	683.0939156
510	682.7233895
511	682.1780681
512	682.007174
513	681.588009
514	681.2769602
515	681.1906094
516	680.7627144
517	680.2656125
518	679.9786143
519	679.5945671
520	679.4183472
521	679.0038346
522	678.5526082
523	678.481124
524	678.3531912
525	678.0462794
526	677.8147465
527	677.6978161
528	677.2622674
529	676.8835906
530	676.7606089
531	676.625473
532	676.0874522
533	675.8703897
534	675.6050424
535	675.1687668
536	674.9698317
537	674.8338095
538	674.6048614
539	674.5235664
540	674.1451431
541	673.8889993
542	673.5801268
543	673.2492078
544	672.7779881
545	672.6835647
546	672.5593236
547	672.3271314
548	672.0047368
549	671.9048323
550	671.1682372
551	670.8159124
552	670.3794042
553	670.0747189
554	669.3402986
555	669.0402491
556	668.7780524
557	668.5112948
558	668.2438635
559	668.0460325
560	667.9069406
561	667.8446668
562	667.6939816
563	667.5537915
564	667.196373
565	666.6117771
566	666.4306751
567	666.1878971
568	665.8674262
569	665.6463038
570	665.4729129
571	665.1629705
572	664.9167667
573	664.6085714
574	664.5103955
575	664.3055098
576	664.1120792
577	663.8483584
578	663.2081971
