iter	Passed	Remaining
0	179	269649
1	236	176967
2	302	151140
3	359	134427
4	428	128076
5	501	124858
6	559	119290
7	616	115038
8	676	112049
9	728	108529
10	777	105244
11	843	104581112	909	104018113	976	103613
14	1030	102005
15	1081	1016	1116	1138	117	1117	1189	118	1218	1246	119	1219	1298	220	1320	1350	221	1321	1402	222	1422	1450	223	1423	1508	924	1524	1576	925	1625	1639	926	1626	1693	927	1727	1750	928	1728	1804	929	1829	1865	930	1930	1929	931	1931	1994	932	2032	2051	933	2033	2109	934	2134	2164	935	2235	2223	936	2236	2289	937	2337	2341	938	2338	2393	839	2439	2450	840	2440	2516	841	2541	2580	842	2642	2644	843	2643	2708	844	2744	2773	845	2845	2830	846	2846	2908	847	2947	2979	948	3048	3056	949	3149	3118	950	3150	3179	951	3251	3244	952	3252	3305	553	3353	3359	554	3454	3432	555	3455	3502	956	3556	3566	557	3657	3629	558	3658	3694	559	3759	3754	660	3760	3810	661	3861	3874	662	3962	3948	663	3963	4010	664	4064	4081	665	4165	4132	666	4166	4205	667	4267	4317	668	4368	4391	969	4469	4455	970	4470	4511	971	4571	4568	972	4572	4634	973	4673	4683	774	4774	4749	975	4775	4800	89955
76	4861	89836
77	4912	78	49578	4979	89563
79	5033	89337
80	5112	89562
81	5178	89544
82	5246	89576
83	5314	89581
84	5383	89613
85	5449	89600
86	5513	89550
87	5570	89384
88	5646	89520
89	5716	89556
90	5794	89724
91	5857	89643
92	5922	89599
93	5994	89662
94	6069	89771
95	6146	89899
96	6222	90003
997	6320	90423998	6384	9034999	6415	89811
100	6471	89645
101	6529	89489
1102	6617	897561103	6676	89620104	6696	88964
1105	6790	893071106	6855	892481107	6923	892371108	6979	890671109	7029	88827110	7034	88027
111	7093	87907
112	7160	87891
113	7205	87601
114	7265	87497
115	7319	87330
116	7386	87314
117	7441	87152
118	7484	86855
119	7524	86529
120	7577	86356
121	7646	86372
122	7714	86363
123	7735	85843
124	7786	85646
125	7833	85423
126	7883	85226
127	7930	85008
128	7970	84705
129	8015	84472
130	8064	84281
131	8108	84034
132	8158	83852
133	8203	83624
134	8254	83466
135	8297	83219
136	8343	83009
137	8384	82756
138	8435	82598
139	8481	82393
140	8524	82164
141	8572	81982
142	8617	81777
143	8674	81681
144	8723	81522
145	8769	81330
146	8816	81146
147	8857	80912
148	8904	80738
149	8951	80567
150	9010	80500
151	9052	80277
152	9078	79927
153	9123	79743
154	9166	79541
155	9215	79396
156	9261	79225
157	9323	79192
158	9372	79047
159	9415	78851
160	9464	78709
161	9515	78590
162	9570	78498
163	9612	78305
164	9621	77847
165	9666	77681
166	9711	77515
167	9762	77400
168	9798	77172
169	9840	76987
170	9879	76785
171	9930	76669
172	9976	7173	9173	10024	76394
174	10068	76231
175	10116	76105
176	10162	75959
177	10220	75906
178	10263	75740
179	10312	75623
180	10359	75493
181	10401	75322
182	10450	75207
183	10527	75293
184	10594	75308
185	10654	75268
186	10715	75235
187	10770	75166
188	10826	75099
189	10871	74954
190	10921	74846
191	10990	74875
192	11070	74970
193	11133	74947
194	11195	74925
195	11251	74855
196	11291	74684
197	11355	74674
198	11398	74519
199	11446	74402
200	11493	74276
201	11542	74171
202	11582	74002
203	11621	73833
204	11669	73717
205	11724	73645
206	11767	73503
207	11808	73351
208	11847	73184
209	11887	73023
210	11934	72909
211	11980	72786
212	12022	72642
213	12075	72564
214	12124	72462
215	12184	72431
216	12228	72302
217	12281	72222
218	12321	72070
219	12359	71909
220	12406	71802
221	12456	71706
222	12502	71595
223	12547	71478
224	12595	71373
225	12645	71282
226	12692	71176
227	12733	71041
228	12785	70964
229	12830	70846
230	12878	70747
231	12931	70675
232	12985	70614
233	13029	70492
234	13079	70406
235	13127	70308
236	13179	70234
237	13219	70097
238	13262	69976
239	13302	69835
240	13355	69770
241	13401	69665
242	13457	69611
243	13498	69485
244	13545	69384
245	13581	69234
246	13652	69259
247	13710	69216
248	13767	69169
249	13813	69065
250	13865	68998
251	13909	68886
252	13961	68813
253	14004	68697
254	14053	68612
255	14101	68525
256	14148	68427
257	14197	68348
258	14251	68287
259	14314	68270
260	14362	68180
261	14427	68173
262	14490	68153
263	14585	68284
264	14675	68394
265	14745	68407
266	14811	68398
267	14883	68419
268	14960	68462
269	15040	68518
270	15109	68522
271	15167	68478
272	15233	68465
273	15299	68457
274	15365	68445
275	15421	68392
276	15477	68335
277	15527	68254
278	15571	68144
279	15613	68032
280	15670	67980
281	15721	67902
282	15774	67834
283	15825	67761
284	15877	67687
285	15921	67584
286	15965	67479
287	16023	67431
288	16075	67360
289	16126	67285
290	16171	67186
291	16212	67072
292	16260	66984
293	16309	66902
294	16353	66798
295	16404	66727
296	16458	66665
297	16504	66571
298	16555	66496
299	16604	66419
300	16648	66318
301	16704	66263
302	16749	66170
303	16802	66105
304	16847	66009
305	16891	65911
306	16937	65820
307	16989	65751
308	17043	65692
309	17093	65617
310	17142	65536
311	17186	65441
312	17235	65362
313	17287	65296
314	17340	65234
315	17390	65159
316	17444	65099
317	17496	65033
318	17543	64950
319	17599	64897
320	17640	64792
321	17685	64700
322	17739	64641
323	17783	64547
324	17844	64516
325	17895	64446
326	17944	64370
327	17995	64302
328	18041	64216
329	18089	64134
330	18145	64084
331	18200	64030
332	18250	63959
333	18300	63886
334	18338	63773
335	18393	63719
336	18438	63630
337	18487	63558
338	18529	63458
339	18576	63377
340	18635	63337
341	18680	63250
342	18726	63167
343	18780	63111
344	18826	63028
345	18870	62937
346	18911	62837
347	18957	62757
348	19005	62681
349	19050	62593
350	19091	62495
351	19135	62409
352	19182	62328
353	19225	62238
354	19277	62175
355	19321	62088
356	19371	62021
357	19424	61964
358	19478	61908
