address,district,area,bedrooms,garage,type,rent,total
Rua José Doll de Moraes,Santana,78,1,2,Apartamento,4250,5443
Rua Cajuru,Belenzinho,155,4,3,Apartamento,9800,11280
Rua Afonso de Freitas,Paraíso,66,2,1,Apartamento,10000,10390
Rua Vigário Albernaz,Vila Gumercindo,55,2,1,Apartamento,2700,3604
Rua da Meação,Vila Regente Feijó,127,3,3,Apartamento,6000,8034
Rua Abílio Soares,Paraíso,155,2,1,Apartamento,15000,17900
Rua Abel Grimmer,Piqueri,250,2,2,Casa,3800,3957
Rua Maratona,Santo Amaro,64,2,1,Apartamento,3000,4038
Rua Henning Boilesen,Vila Lageado,250,3,4,Casa,3950,4285
Rua Luiz Seráphico Júnior,Jardim Caravelas,110,1,2,Apartamento,9000,10550
Rua Jovita,Santana,100,2,1,Casa em condomínio,3010,3231
Rua Afonso Bandeira de Melo,Campo Belo,60,2,1,Apartamento,2620,3967
Rua Santo Egídio,Santa Teresinha,60,2,1,Apartamento,1450,2304
Rua Camargo,Paulicéia,54,2,1,Apartamento,1950,2025
Rua Armindo Guaraná,Vila Regente Feijó,211,3,3,Apartamento,5500,9495
Rua São Paulo,Liberdade,45,1,0,Studio e kitnet,1120,1414
Rua Antônio Cardoso Franco,Casa Branca,59,2,1,Apartamento,2100,2559
Rua Antônia Maria de Barros,Vila Albertina,37,1,0,Apartamento,1700,2169
Rua João de Laet,Vila Aurora (zona Norte),60,2,2,Apartamento,1800,2420
Rua Doutor Tomás Carvalhal,Paraíso,90,1,1,Apartamento,5800,7462
Rua das Cerejeiras,Canhema,40,2,0,Casa,922,1031
Rua Murmúrios da Tarde,Conjunto Residencial José Bonifácio,44,2,1,Apartamento,1100,1327
Rua Doutor Luiz Migliano,Jardim Caboré,87,2,2,Apartamento,4800,6215
Rua do Símbolo,Jardim Ampliacao,80,2,2,Apartamento,9000,10210
Rua Mendes Gonçalves,Brás,98,2,0,Apartamento,1615,2636
Rua dos Buritis,Jabaquara,43,1,1,Apartamento,2000,2721
Rua Sales Júnior,Lapa,225,4,3,Apartamento,10000,14950
Rua Virgínia,Vila Carrao,38,2,0,Apartamento,1350,1618
Rua Barbacena,Jardim Ana Rosa,120,2,1,Casa,2200,2318
Viaduto Nove de Julho,Centro,25,1,1,Studio e kitnet,2580,3461
Rua Conselheiro Lafaiette,Mooca,41,2,0,Apartamento,2200,2532
Rua São Domingos,Bela Vista,74,2,1,Apartamento,2900,3512
Rua Doutor Nicolau Alberto Defina,Jardim da Saúde,68,2,1,Apartamento,1294,2066
Avenida Piraíba,Centro Comercial Jubran,90,2,2,Apartamento,7000,8307
Rua Doutor Almeida Lima,Mooca,28,1,0,Studio e kitnet,2200,2284
Rua Visconde de Parnaíba,Brás,45,1,1,Apartamento,2000,2437
Rua Domingos Maza,Vila Boacava,28,1,0,Casa em condomínio,950,990
Rua Jaboticabal,Vila Bertioga,50,2,1,Apartamento,4000,5009
Rua Domingos da Fonseca,Parque da Mooca,70,2,1,Apartamento,1300,2239
Rua Professor Lúcio Martins Rodrigues,Jardim Leonor,350,4,3,Casa,9000,10280
Alameda Dinamarca,Alphaville Residencial Um,560,3,4,Casa em condomínio,13000,14800
Avenida Túlio Teodoro de Campos,Vila Paulista,57,3,1,Apartamento,2255,2724
Rua Diogo Pereira,Super Quadra Morumbi,61,2,2,Apartamento,1647,2634
Rua Caramuru,Vila da Saúde,33,2,0,Apartamento,3000,3683
Rua Glicério,Liberdade,28,1,0,Studio e kitnet,1110,1173
Rua Gabriele D'annunzio,Campo Belo,83,3,1,Apartamento,3000,4773
Rua Tito,Vila Romana,150,2,1,Casa,4950,5360
Rua Antônio Vera Cruz,Casa Verde Alta,372,3,5,Casa,11250,12100
Rua Ministro Gastão Mesquita,Perdizes,64,1,0,Apartamento,4000,4401
Rua Padre Bento Ibáñez,Jardim Prudência,50,2,1,Apartamento,1670,2501
Rua José Wasth Rodrigues,Vila Maria Baixa,100,3,2,Apartamento,4200,4429
Rua Martim Burchard,Brás,45,1,0,Apartamento,3000,3556
Avenida Escragnolle Dória,Jardim Vila Formosa,25,1,0,Casa,900,938
Rua Alvorada,Vila Olímpia,56,2,2,Apartamento,2605,4251
Rua Pires da Mota,Liberdade,58,1,0,Apartamento,2000,2327
Rua Giovani Recordati,Parque São Domingos,146,3,4,Casa em condomínio,5200,7033
Avenida Imperatriz Leopoldina,Vila Leopoldina,27,1,0,Studio e kitnet,1158,1476
Rua Desembargador Aragão,Vila Mariana,40,1,1,Apartamento,4200,4734
Rua Bernardo de Quadros,Vila Morse,123,3,2,Casa,4875,5142
Rua Doutor João Clímaco Pereira,Itaim Bibi,38,1,1,Studio e kitnet,3750,5048
Praça Júlio Prestes,Campos Elíseos,50,2,0,Apartamento,1750,2384
Rua José Teles de Matos,Jardim Oriental,184,3,2,Casa,4200,4687
Avenida Macuco,Moema,60,2,1,Apartamento,3900,5903
Rua Antônio Camardo,Vila Gomes Cardim,110,3,0,Apartamento,3300,3477
Rua Doutor Fontes de Resende,Vila Dalila,43,2,0,Apartamento,1700,1916
Rua Domingos Paiva,Brás,62,2,1,Apartamento,4500,5584
Travessa Severo Garcia,Mandaqui,70,2,1,Casa,1800,1876
Rua Azevedo Júnior,Bras,60,2,1,Apartamento,1950,2611
Rua Olímpia Lemes da Silva,Jardim das Vertentes,60,1,0,Casa,1200,1293
Alameda Franca,Jardim Paulista,179,3,1,Apartamento,14470,17550
Rua da Consolação,Consolação,27,1,1,Apartamento,2020,2711
Rua Viêira de Carvalho,Nova Gerti,24,1,0,Casa,1150,1199
"Rua Sete Barras, 268",Nossa Senhora do Ó,65,3,1,Apartamento,2250,2854
Rua Antônio Borba,Vila Madalena,88,2,2,Apartamento,3800,5693
Rua Oscar Freire,Cerqueira César,100,2,1,Apartamento,7000,8644
Rua Gomes de Carvalho,Vila Olímpia,56,1,1,Apartamento,5630,7347
Rua do Lucas,Brás,50,2,0,Apartamento,1600,1742
Rua Abaíbas,Vila Palmeiras,30,1,0,Casa,770,889
