y_true,y_pred,error,abs_error,address,district,area,bedrooms,garage,type
26710,2293.9905405996433,24416.009459400357,24416.009459400357,avenida chibarás,planalto paulista,24,1,0,
16680,4529.412595338374,12150.587404661626,12150.587404661626,rua senador césar lacerda vergueiro,sumarezinho,70,1,1,
28700,17345.316926897085,11354.683073102915,11354.683073102915,alameda dos tupiniquins,planalto paulista,454,4,5,
13200,3122.7774019874564,10077.222598012544,10077.222598012544,"r. nossa sra. operária, 286 - vila guilherme, são paulo - sp, 02060-010, brasil",vila guilherme,125,3,0,
13260,3598.9521753912954,9661.047824608704,9661.047824608704,rua tonelero,vila ipojuca,150,2,1,
15620,6039.831835832579,9580.168164167422,9580.168164167422,avenida paulista,bela vista,106,2,0,
18070,8794.938190876688,9275.061809123312,9275.061809123312,rua joão lourenço,vila nova conceição,161,3,2,
20810,11547.333233172521,9262.666766827479,9262.666766827479,rua tangará,vila mariana,220,2,3,
17530,8285.791088004982,9244.208911995018,9244.208911995018,rua marcos lopes,vila nova conceição,100,1,2,
12790,4340.098757710549,8449.901242289452,8449.901242289452,rua conde de porto alegre,campo belo,200,0,4,
23180,14796.736013862472,8383.263986137528,8383.263986137528,rua domênico perotti,jardim fonte do morumbi,280,4,5,
14820,6453.037486085333,8366.962513914666,8366.962513914666,rua carlos pavan,jardim peri peri,215,3,5,
19200,10885.603250518065,8314.396749481935,8314.396749481935,alameda sarapuí,alphaville,380,3,5,
12930,4697.297428310223,8232.702571689777,8232.702571689777,rua cayowaá,sumaré,90,3,2,
20680,12510.819916011144,8169.1800839888565,8169.1800839888565,rua édison,campo belo,250,4,4,
12530,4431.400975279695,8098.599024720305,8098.599024720305,rua george ohm,cidade monções,82,2,1,
14790,6695.6226368659645,8094.3773631340355,8094.3773631340355,alameda franca,jardim paulista,90,1,1,
9568,1518.877446986974,8049.122553013026,8049.122553013026,rua lacondê,jardim europa,70,1,0,
14050,6071.981242393627,7978.018757606373,7978.018757606373,alameda gregório bogossian sobrinho,tamboré,180,3,2,
17080,9151.471915187785,7928.528084812215,7928.528084812215,rua umburanas,alto de pinheiros,280,4,6,
